Kelley Indexes for All Cluster Levels

level	index
397	398,2076
398	399,2065
399	400,2042
400	401,2040
401	402,2037
402	403,2028
403	404,2006
404	405,2003
405	406,2000
406	407,1978
407	408,1968
408	409,1965
409	410,1963
410	411,1953
411	412,1944
412	413,1941
413	414,1938
414	415,1916
415	416,1895
416	417,1873
417	418,1851
418	419,1841
419	420,1831
420	421,1828
421	422,1825
422	423,1816
423	424,1795
424	425,1792
425	426,1789
426	427,1786
427	428,1765
428	429,1745
429	430,1734
430	431,1725
431	432,1717
432	433,1714
433	434,1711
434	435,1708
435	436,1688
436	437,1667
437	438,1664
438	439,1661
439	440,1653
440	441,1644
441	442,1641
442	443,1620
443	444,1617
444	445,1614
445	446,1606
446	447,1598
447	448,1595
448	449,1591
449	450,1572
450	451,1569
451	452,1566
452	453,1562
453	454,1559
454	455,1550
455	456,1547
456	457,1544
457	458,1524
458	459,1521
459	460,1512
460	461,1509
461	462,1506
462	463,1503
463	464,1500
464	465,1490
465	466,1487
466	467,1485
467	468,1482
468	469,1479
469	470,1476
470	471,1473
471	472,1470
472	473,1468
473	474,1465
474	475,1462
475	476,1459
476	477,1456
477	478,1453
478	479,1451
479	480,1447
480	481,1445
481	482,1442
482	483,1433
483	484,1425
484	485,1422
485	486,1419
486	487,1416
487	488,1413
488	489,1404
489	490,1401
490	491,1398
491	492,1389
492	493,1380
493	494,1377
494	495,1375
495	496,1371
496	497,1369
497	498,1366
498	499,1363
499	500,1360
500	501,1357
501	502,1354
502	503,1352
503	504,1349
504	505,1346
505	506,1343
506	507,1340
507	508,1338
508	509,1335
509	510,1332
510	511,1329
511	512,1326
512	513,1323
513	514,1320
514	515,1298
515	516,1295
516	517,1292
517	518,1289
518	519,1287
519	520,1276
520	521,1274
521	522,1271
522	523,1268
523	524,1266
524	525,1263
525	526,1260
526	527,1251
527	528,1248
528	529,1237
529	530,1234
530	531,1230
531	532,1227
532	533,1224
533	534,1222
534	535,1219
535	536,1216
536	537,1214
537	538,1211
538	539,1208
539	540,1205
540	541,1202
541	542,1199
542	543,1196
543	544,1194
544	545,1191
545	546,1188
546	547,1186
547	548,1183
548	549,1180
549	550,1178
550	551,1175
551	552,1172
552	553,1169
553	554,1166
554	555,1163
555	556,1160
556	557,1149
557	558,1138
558	559,1127
559	560,1114
560	561,1111
561	562,1108
562	563,1105
563	564,1102
564	565,1099
565	566,1096
566	567,1093
567	568,1090
568	569,1086
569	570,1083
570	571,1080
571	572,1068
572	573,1064
573	574,1062
574	575,1059
575	576,1056
576	577,1053
577	578,1050
578	579,1046
579	580,1043
580	581,1031
581	582,1028
582	583,1026
583	584,1023
584	585,1021
585	586,1017
586	587,1014
587	588,1011
588	589,1008
589	590,1005
590	591,0994
591	592,0991
592	593,0989
593	594,0986
594	595,0984
595	596,0981
596	597,0979
597	598,0977
598	599,0974
599	600,0970
600	601,0968
601	602,0965
602	603,0962
603	604,0959
604	605,0956
605	606,0952
606	607,0949
607	608,0945
608	609,0942
609	610,0938
610	611,0923
611	612,0905
612	613,0889
613	614,0886
614	615,0883
615	616,0880
616	617,0876
617	618,0873
618	619,0869
619	620,0865
620	621,0861
621	622,0857
622	623,0853
623	624,0849
624	625,0844
625	626,0840
626	627,0835
627	628,0830
628	629,0811
629	630,0807
630	631,0803
631	632,0800
632	633,0795
633	634,0791
634	635,0786
635	636,0782
636	637,0777
637	638,0771
638	639,0767
639	640,0761
640	641,0755
641	642,0749
642	643,0743
643	644,0736
644	645,0729
645	646,0706
646	647,0701
647	648,0695
648	649,0690
649	650,0684
650	651,0677
651	652,0670
652	653,0662
653	654,0654
654	655,0646
655	656,0641
656	657,0635
657	658,0629
658	659,0623
659	660,0615
660	661,0608
661	662,0599
662	663,0591
663	664,0581
664	665,0576
665	666,0571
666	667,0565
667	668,0557
668	669,0550
669	670,0541
670	671,0532
671	672,0521
672	673,0508
673	674,0493
674	675,0475
675	676,0468
676	677,0458
677	678,0446
678	679,0430
679	680,0409
680	681,0379
681	682,0335
682	683,0262
683	684,0115
684	685,0000

Optimal number of clusters: 22

